title,desc,source,date
佘達明：從醫療系統角度看，香港公立醫院壓力爆煲，誰該負責？,過去20年，香港醫療的壓力點基本上在急症室、兒科、內科及老人科。隨着人口的老化，壓力點的壓力只會有增無減。,Initium,2019-02-11
患癌女孩圆警察梦 非凡笑容对抗病魔,美国得克萨斯州一名6岁女病童上周四梦想成真，成为当地的终身荣誉警察。警长鼓励小女孩称，她非凡的笑容将会继续对抗她体内的“坏分子”。 阿里亚丝一尝坐警车、握佩枪的滋味。（互联网） 来自弗里波特市的阿里亚丝一直梦想能成为警察，但她罹患一种名为肾母细胞瘤的儿童癌症，即使已接受化疗及放射治疗，仍无法康复。所幸，阿里亚丝在去年圣诞参与当地警署的庆祝活动时，认识了警长加里维。当加里维得知阿里亚丝的故事后，决心要替她圆梦。,Zaobao,2019-02-11
你的生活方式，正影響著未來的「失智症」罹病風險,"過去的研究大部分都集中研究個體因素（如飲食或身體活動）會如何影響罹患失智症的風險，但是這篇研究透過證明這些因素可能具有累加效應，而提出這項認知：人們從事有助益的活動越多，罹病風險可能就越低。 標籤: 失智症, 阿茲海默症, 遺傳, 生活習慣",NewsLens,2019-08-08
社论：内平外成三十年,日本明仁天皇于4月30日正式退位，结束了30年的平成年代；皇太子德仁隔日登基，开启了新的令和时代。平成30年见证了日本、东亚和世界的重大变化，冷战结束、中国崛起、恐怖主义肆虐、贸易保护主义和民粹主义勃兴；日本国内因泡沫经济破裂，陷入了长期的停滞状态，国民一度丧失了自信，生育率急剧下降导致人口萎缩老化。承平日久，日本人或许必须在令和新时代找回奋斗的意义。,Zaobao,2019-05-02
研究發現新型失智症 過去常誤診為阿茲海默症,最新研究發現，數以百萬計高齡長者可能是罹患一種新型失智症，而被誤診為阿茲海默症。專家表示，這可能是過去 5 年來最重大的失智症研究發現，有助於找出治療方式。,芋傳媒,2019-05-02
喝热汤可致食道癌？,国外媒体报道，一名男子抽烟长达30年，爱喝热汤，某天发现吃饭总卡喉咙、吞咽困难，就医后发现罹患食道癌。大家都应知道抽烟会增加患癌风险，但喝热汤竟然也是风险因素之一？且听本地肿瘤专科医生解析和建议。新加坡医疗集团癌症中心医务总监兼肿瘤内科顾问医生黄醒荣接受《活得好》访问时说，世界卫生组织属下单位世卫组织国际癌症研究署（IARC）在2016年6月已发出文告，把喝热饮列为很可能导致食道癌的因素。,Zaobao,2019-05-02
洪士奇觀點：「活躍銀髮」更該是我們努力的方向,報載台南市樂活歸仁日照中心，因為讓長輩幫忙包裝養生茶，招批評為照顧模式失當，台南社會局要求限期改善一事，網路上支持與反對者各有說法。筆者協力失智銀髮族照顧相關多年，深知銀髮照護的核心是長者與照顧長者的家屬，如何「活躍銀髮」才更該是在討論該事件前應先探討的認知。目前台北市政府已然將,風傳媒,2019-04-07
邻居被索百元修天花板 老汉图揭欺骗行为遭拳打,中年汉上门一句“明天会上门修天花板”，开口就要收100元定金，七旬大叔建议独居老邻居先问儿子和建屋发展局再做决定，结果惹来中年汉一阵怒骂，还朝大叔脸上吐口水并挥拳打他！这起事件发生在上周五（3月22日）晚上8时30分左右，地点在大巴窑。屋主刘中墨（72岁，退休）告诉《联合晚报》，事发时他住家木门敞开，他与93岁失智老母在客厅看电视节目，一名年约40岁的华族壮汉站在门外，劈头就说“我明天会上门修天花板”。,Zaobao,2019-03-26
藍弋丰觀點：人口房屋皆老化─小心！台灣房市灰犀牛蠢蠢欲動,台灣房地產市場過去曾經歷「一放就亂，一管就死」的循環，也曾一路狂飆，成為社會問題的來源，居住正義到底何時實現？當前，面對各項人口及經濟議題時，相關單位若能以更嚴謹的規劃及配套措施，解決房市問題，才能真正造福民眾，享有安居樂業的生活。房地產一向是台灣人的重要理財項目，一般人更認為具,風傳媒,2019-07-08
這會是明日台灣嗎？人口快速減少與老化，高度仰賴外國移民支撐的日本國,10年前我住在日本鄉村時，很少遇到外國人。甚至在東京，當地人有時也會向我這個身材高大的美國白人投來訝異的目光。但上個月再去日本，變化之大令我震驚。酒店、購物中心和咖啡館，似乎至少都會有一名工作人員是外來移民。一些在前台、電子遊戲廳工作的年輕人，胸前的名牌寫著非日本名字。金澤是東京,風傳媒,2018-12-27
風評：「拔管」峰廻報廢三位部長，看民進黨的權力失智症,十二月廿五日，全台灣新科縣市長宣誓就職，台灣翻了新頁，民進黨蔡政府却焦頭爛額地糾結於台大校長人事案，前一天「勉予同意」核定聘任管中閔為新任台大校長的教育部長葉俊榮，在民進黨一夜崩潰後，遞出辭呈，並即刻由「請辭中」的行政院長賴清德「勉予同意」簽准，結束他一百六十三天的任期。這是蔡政,風傳媒,2018-12-27
美政府下令对移民儿童加强医疗检查,美国海关和边境保护局（CBP）下令在照顾10岁以下儿童时做一些改变。此前，一名8岁的危地马拉男童在美国被拘留期间死亡。,VOA,2018-12-27
颈椎伤患未愈 古天乐又再受伤,古天乐（古仔）、方中信、李璨琛合演古装电影《武林怪兽》，日前联同有份声演的卢海鹏和西瓜，出席首映礼。古仔表示最近赶拍新戏，有飞车和枪战戏分，圣诞和除夕也没有假期，加上近日天雨影响拍摄进度，暗示难腾出时间出席1月1日的叱吒颁奖礼。早前曾接受颈椎手术，尚未完全康复，古仔又爆再度受伤：“一个多星期前又跌倒撞伤，问过医生，他再重新讲一次，叫我不能做任何运动，奈何要工作没办法。”,Zaobao,2018-12-27
《媽媽，對不起》：面對滿口「不要不要」的失智母親，實在難以保持冷靜,"到了這時，我已經漸漸發現母親的抗拒是出於不願意改變生活習慣的心理。不論是讓她去日間照顧中心，還是使用漏尿墊和復健褲，改變過去熟悉的生活，都讓她痛苦萬分。但即使理智明白，感情也不是這麼一回事。面對滿口「不要不要」的母親，實在是難以保持冷靜。  標籤: 復健褲, 失智症, 松浦晋也, 媽媽，對不起, 長照, 照護, 失禁, 成人紙尿布",NewsLens,2018-12-13
玩數獨、填字遊戲能抗老化嗎？研究：解謎無助對抗老年心智退化,你有想過要藉著玩數獨、填字遊戲等益智遊戲來對抗心智退化嗎？這份研究恐怕要讓你失望了。英國一份科學研究發現，經常執行解謎活動等心智活動，對於晚年防止心智退化沒有任何影響。老年心智用進廢退？逾15年研究挑戰觀念人活到了晚年，心智「用進廢退」（useitorloseit）的概念常獲各界,風傳媒,2018-12-13
研究：白天伤口愈合快的秘密所在,医务人员可以结合人体的这种能力，研制出新的药物，也可以通过改变用药时间，增加疗效。,BBC,2018-12-13
《媽媽，對不起》：無止境的照護壓力，讓我終於對失智母親動手了,"自我崩壞時，一定都有前兆。  這次的前兆，是呈現為「要是可以把在眼前搗亂的母親痛揍一頓，一定會很爽」的念頭。我的理性清楚這是絕對不可以做的事......然而儘管理性這麼想，腦中的幻想卻無法遏止地擴大。  標籤: 媽媽，對不起, 松浦晋也, 長照, 阿茲海默症, 失智症",NewsLens,2018-12-13
史上頭一遭 G20為人口老化危機費思量,不斷膨脹的醫療成本、勞動力短缺和老人金融服務，今天（9 日）在日本福岡的會議中，全球主要國家的政策制定者，正首度著手解決與人口老齡化和出生率下降有關的經濟問題。,芋傳媒,2019-06-10
G20首度商討人口老化衝擊 憂心演變為全球危機,20 國集團（G20）的財金首長今天於日本集會，首次商討如何因應與人口老化和出生率下降有關的經濟問題，像是醫療保健支出激增、勞動力短缺及專為長者設計的金融服務等。,芋傳媒,2019-06-10
G20：老龄化问题可能成全球危机,在日本福冈刚刚闭幕的G20财长和央行行长会议上，与会各国财长首次重点商议了人口老龄化和出生率下降可能给各国带来的挑战。据台湾中央社报道，日本副首相兼财政大臣麻生太郎在会议上警告说，老龄化已经成为日本主要�,RFA,2019-06-10
從貿易戰到網企稅 G20財長會議聲明5大重點,為期 2 天的 20 國集團（G 20 ）財政部長及中央銀行總裁會議今天在日本福岡落幕，會中提及貿易緊張「加劇」可能對全球經濟帶來負面風險，並首度討論人口迅速老化對經濟的衝擊。,芋傳媒,2019-06-10
调查：不知如何正确处理 逾七成受访者把剩药丢进垃圾桶,国立癌症中心的调查显示，75.4％受访者会把吃剩药物丢进垃圾桶；小部分则选择丢进洗手盆或马桶冲掉。85.7％受访者表示不清楚处理剩余药物的正确方法。一项本地调查显示，看护者和病患不知道处理吃剩药物的正确方法，超过七成选择丢进垃圾桶，一些人把剩余药物丢进洗手盆或用马桶冲掉。,Zaobao,2019-03-19
为父雇佣问题一箩筐 男子申诉：女佣当过夜总会歌星,为雇女佣照顾七旬中风父，男子接连请到4名问题女佣，其中一个还当过夜总会歌星，工作三个月后落跑。蔡福顺（38岁，保安员）告诉记者，他和父母、太太及女儿住在武吉班让一带的组屋。由于75岁的父亲中风，家人都有工作，因此请来女佣照顾父亲。岂料，过去四年来，女佣都出状况。包包里竟藏水果刀 蔡福顺受访时说，第一个女佣工作不到四个月，包包里却出现水果刀，还有剃须刀以及男人的日用品。第二名女佣工作大约一年后，擅自买机票，出发前三天才表示要回家探访动手术的母亲。,Zaobao,2019-03-19
交流站：跳蚤市场带动旧组屋区人气,住在淡滨尼的居民都知道，淡滨尼11街有个已有30多年历史的圆巴刹。圆巴刹一边是湿巴刹，另一边是小贩中心。早期淡滨尼还未完全发展时，圆巴刹成了居民买菜和解决三餐的地方。今天，淡滨尼住宅区设施完善，还有一个生气勃勃的区域中心。由于圆巴刹附近的组屋区老化，有些公寓集体出售，居民搬迁到别处，圆巴刹的人流量减少，平日人潮不多，只有星期天例外。,Zaobao,2019-03-19
女经纪医美疗程出事 卫生部派人诊所调查 带走数十瓶药物,女房地产经纪进行医美疗程时，身体出现状况送院，昏迷五天后不幸过世，家人报警及向卫生部反映，卫生部今早也派人到美容诊所进行调查。《联合晚报》连日追踪报道，32岁的女房地产经纪刘丽婷本月8日到一家美容诊所进行医美疗程时，不知何故出现状况送院，靠生命维持器活命，昏迷五天后过世。她是家中的老大，与父母、两个妹妹及一个弟弟同住。,Zaobao,2019-03-19
达赖喇嘛恢复良好 或在周五出院,日前因身体不适而入院治疗的西藏精神领袖达赖喇嘛“恢复良好”，可能会在本周五出院。  法新社11日的报道引述达赖喇嘛的发言人表示，达赖喇嘛基本已康复，可以进行简单运动，但会继续吃药。  达赖喇嘛星期二因轻微咳�,RFA,2019-04-13
达赖喇嘛在新德里一家医院治疗肺部感染后基本康复周五出院,西藏流亡精神领袖达赖喇嘛在经过几天住院治疗后星期五上午从新德里一家医院出院。达赖喇嘛对等候在医院的媒体表示他感到正常，几乎正常。,VOA,2019-04-13
为就近照顾女儿 买露营车停校外,据浙江《钱江晚报》报道，温州第二外国语学校校门口对面的停车场，这学期每周一至五都固定停着一辆露营车。车主是温州市永嘉县一名朱姓男子，为就近照顾在那就读小学的女儿欣欣，特意花50多万元人民币（约10多万新元）买露营车，让妻子和母亲轮流伴读。报道称，这辆露营车内部空间不大，却五脏俱全，有厨房、浴室、客厅、睡床，以及冰箱和洗衣机等家电。,Zaobao,2019-04-13
全球幸福报告 芬兰蝉联榜首 我国排34,全球幸福报告20日出炉，芬兰蝉联全球最幸福国家。中国通讯社引述俄罗斯卫星网的报道说，全球幸福报告（World Happiness Report）对156个国家进行了评估，考虑了预期寿命、社会支持、腐败等指标。报告应联合国要求编制，于2012年首次发布。除芬兰外，丹麦、挪威、冰岛、荷兰、瑞士、瑞典、新西兰、加拿大和奥地利也跻身榜单前十，美国（第19名）、德国（16）、英国（17）和法国（24）则没有进入前十。,Zaobao,2019-03-21
T.O.P社会服役期间被曝获病假特别照顾引争议,,Joins,2019-03-21
民團檢討準公托 憂保母面臨人力斷層,準公共化托育政策實施滿一年，民間團體發現台灣保母有人力老化趨勢，將近六成保母超過50歲，因此擔憂五年、十年後保母退休，會遇「人力斷層」。...,PTS.org.tw,2019-08-11
世界首例基因编辑婴儿或于中国诞生 政府称其“违反条例”：朝日新聞中文网,中国媒体于26日报道称，中国的科学家于11月让世界首例经过基因编辑、对艾滋病病毒(HIV)有免疫能力的双胞胎女婴诞生。而基因编辑能够让遗传基因发生改变。,Asahi,2018-11-29
陈笃生医院研发评估工具 改善看护者心理状况,看护者照顾家中年长病患往往会承受巨大的压力，容易患上抑郁症或焦虑症等心理疾病。本地护理团队研发出可快速并准确判断出看护者患病风险的评估工具，并制定培训项目，协助看护者应对心理压力和负担。预计今年底会在陈笃生医院两个病房展开试验计划，测试评估工具和培训项目的有效性。由陈笃生医院护理助理主任程依瑜和护理执行员林志祥带领的团队，过去三年针对274对年长病患和看护者，展开调查和详细访问，了解病患从住院至出院后六个月的这段期间，对看护者的心理健康产生怎样的影响。,Zaobao,2019-07-05
澳作家杨恒均被单独关押 健康出问题,"澳大利亚华人作家杨恒均被捕两个半月以来，一直未获见律师，家人也无法探视，还被围喂食不明药物。由于他是澳大利亚公民，澳大利亚使馆领事，每个月都可以去探视一次。 
 《澳大利亚人》和澳洲电台的报道，杨恒均被�",RFA,2019-04-01
失智症失踪人数1万6927人为过去最多 发现遗体508具：朝日新聞中文网,警察厅已于20日公布，在2018年1年内警察所收到的报告中，失智症的失踪者总人次为1万6927人，较2017年增加了1064人。,Asahi,2019-06-21
關鍵評論網8月主題徵文：100種打破印象的老後生活,"請將讓你難忘、顛覆對老化刻板印象的老年生活相關經驗及體察，寫成1500字以上（無字數上限）評論文章一篇。作品內容需為首次發表，同時嚴禁抄襲，如有參考資料請附上。 標籤: 100種打破印象的老後生活, 還不錯的老後, 哈佛教你幸福一輩子, 高齡友善新視界, 無痛退休, 老人詐欺, 長壽地獄",NewsLens,2019-08-01
辽宁拟修生育条例 欲改善人口老化,中国东北辽宁省计划放宽生育限制，允许一些夫妇生育第三个孩子，旨在改善生育率并阻止劳动力短缺。,DW,2019-08-01
失智症的爸爸能出國嗎？我的大膽建議是：可以試試看！,"所有資料幾乎都是建議不要改變長輩的環境，也不要過夜，這樣間接的也把照顧者綁死在家中。在臨床上的觀察，並非所有人都必須如此，如果能夠觀察下列幾個病患的情形，或許可以幫助照顧者，有機會帶著長輩外出。 標籤: 失智症, 出國, 混亂行為, 外出環境",NewsLens,2019-03-03
瑞士同意向美国引渡偷取癌症药物机密的中国科学家,瑞士当局周二表示，他们同意美国的引渡要求，将引渡一名被指控偷取全球主要医药公司葛兰素史克(GSK)价值5亿多美元商业秘密的中国研究人员。,VOA,2019-07-17
驗血診斷阿茲海默症 研究團隊有突破,目前全球失智症人口多達5千萬人，在台灣邁入高齡社會的同時，失智病患也正在快速增加。最近在美國洛杉磯舉辦的阿茲海默症協會國際大會，有多組研究團隊提出實驗報告，提到透過驗血來診斷阿茲海默症，其中最高...,PTS.org.tw,2019-07-17
【2019年参院选·当下的我们】在富冈町携妻迎来最后时光：朝日新聞中文网,板仓正雄(90岁)带着患有失智症的妻子·光子(87岁)回到福岛县富冈町，已经过去2年。,Asahi,2019-07-17
遺傳性失智並非無可避免！最新研究：無論基因，健康生活能減少失智症風險,《美國醫學會雜誌》最新研究指出，即使家族內存在高風險遺傳基因，但只要透過維持健康生活習慣，就能降低罹病可能性，讓失智症不再是無可避免的遺傳疾病。該研究長期追蹤英國20萬名60歲（含）以上成年人，比對日常生活的「健康程度」與失智症罹病比例的關聯後得此結論。這篇最新研究刊登在《美國醫,風傳媒,2019-07-17
癌恢复后首归羽总健身 李宗伟下周一正式回归训练场,马来西亚羽毛球名将李宗伟提前回到大马羽总羽球学院展开患癌恢复后的第一次训练，但他昨天做的是健身训练，还没正式回到球场。前世界第一的李宗伟昨早在两名教练的陪同下回归位于武吉加拉的羽球学院做健身。这是李宗伟自去年6月底证实患鼻癌、7月飞往台湾接受治疗，随后回国进行康复后，首次回归他的“第二个家”羽总。,Zaobao,2019-01-05
绝世好雇主 为女佣办婚礼 还备“四点金”,主仆情深！女佣为雇主夫妇打工27年，雇主不仅为她筹办婚礼宴客，还如同嫁女儿般，为她准备“四点金”。48岁的珂丽欧27年前因未婚夫与同事有染，伤心之下离开菲律宾到本地当女佣。当年才20岁的珂丽欧，初到狮城谋生，分别照顾雇主3岁大的长子以及3个月大的男婴，此后与如今60岁左右的雇主夫妻一家，结下不解之缘。,Zaobao,2019-01-05
美国名校“逆境评分”影响亚洲生源吗？,刘裘蒂：美国将在SAT考试中照顾“逆境家庭“学生。耶鲁本科招生主任昆兰说，目前“逆境评分”只针对美国生源。,FT,2019-05-20
