title,desc,source,date
智能技术为老旧的基础设施带来新生命,极端天气和海平面上升正在给自然界和我们用来管理废水的基础设施带来压力。重建老化的基础设施是昂贵的，因此国家科学基金会的研究正在教授旧基础设施处理新问题的新技巧。,VOA,2019-05-23
全台首間貓犬醫療室 助流浪動物救治,公立動物收容所零安樂死上路後，動物量及老化疾病問題增加。中興大學獸醫院，利用教育部的經費，成立全台第一間提供流浪貓犬的專用醫療室。...,PTS.org.tw,2019-05-23
攬才先解決居住問題 台大貸款16億於校外土地興建240戶教師宿舍,台大校長管中閔上任後，力拼留才、攬才。台灣大學今日宣布，為解決教職員宿舍不足、影響人才任教意願問題，將貸款16億經費，於14處校外土地興建240戶宿舍，以提昇教職員居住品質、增加人才到校任教意願。台灣大學今日發布新聞稿指出，面臨師資老化趨勢，年輕教師比率偏低，人才問題迫在眉睫，校,風傳媒,2019-04-17
跟著課程一起變老：淺談社區大學作為在地安老的一種設計,"在國家因應高齡化社會挹注長照、社福、教育資源，試圖開創發展「新」的「活躍老化」、「青銀共創」的社會參與模式之際，本文透過本人在社大的參與觀察與社會實踐，探索在地經營甚久的「老」社大作為在地老化「巷弄站」、「柑仔店」的可能性。 標籤: 高齡化, 人口老化, 安養照顧, 情境老化, 終身學習, 在地安老, 老年文化, 文化照顧",NewsLens,2019-04-17
加拿大大開移民之門 三年內擬收百萬新移民,當反移民浪潮席捲西方國家之際，加拿大反其道而行.因應人口老化、生育率低迷，加拿大有意大開移民之門，未來三年讓逾百萬名外籍人士獲得永久居留權。,TWNews,2019-01-13
佘達明：從醫療系統角度看，香港公立醫院壓力爆煲，誰該負責？,過去20年，香港醫療的壓力點基本上在急症室、兒科、內科及老人科。隨着人口的老化，壓力點的壓力只會有增無減。,Initium,2019-02-11
你的生活方式，正影響著未來的「失智症」罹病風險,"過去的研究大部分都集中研究個體因素（如飲食或身體活動）會如何影響罹患失智症的風險，但是這篇研究透過證明這些因素可能具有累加效應，而提出這項認知：人們從事有助益的活動越多，罹病風險可能就越低。 標籤: 失智症, 阿茲海默症, 遺傳, 生活習慣",NewsLens,2019-08-08
社论：内平外成三十年,日本明仁天皇于4月30日正式退位，结束了30年的平成年代；皇太子德仁隔日登基，开启了新的令和时代。平成30年见证了日本、东亚和世界的重大变化，冷战结束、中国崛起、恐怖主义肆虐、贸易保护主义和民粹主义勃兴；日本国内因泡沫经济破裂，陷入了长期的停滞状态，国民一度丧失了自信，生育率急剧下降导致人口萎缩老化。承平日久，日本人或许必须在令和新时代找回奋斗的意义。,Zaobao,2019-05-02
研究發現新型失智症 過去常誤診為阿茲海默症,最新研究發現，數以百萬計高齡長者可能是罹患一種新型失智症，而被誤診為阿茲海默症。專家表示，這可能是過去 5 年來最重大的失智症研究發現，有助於找出治療方式。,芋傳媒,2019-05-02
洪士奇觀點：「活躍銀髮」更該是我們努力的方向,報載台南市樂活歸仁日照中心，因為讓長輩幫忙包裝養生茶，招批評為照顧模式失當，台南社會局要求限期改善一事，網路上支持與反對者各有說法。筆者協力失智銀髮族照顧相關多年，深知銀髮照護的核心是長者與照顧長者的家屬，如何「活躍銀髮」才更該是在討論該事件前應先探討的認知。目前台北市政府已然將,風傳媒,2019-04-07
邻居被索百元修天花板 老汉图揭欺骗行为遭拳打,中年汉上门一句“明天会上门修天花板”，开口就要收100元定金，七旬大叔建议独居老邻居先问儿子和建屋发展局再做决定，结果惹来中年汉一阵怒骂，还朝大叔脸上吐口水并挥拳打他！这起事件发生在上周五（3月22日）晚上8时30分左右，地点在大巴窑。屋主刘中墨（72岁，退休）告诉《联合晚报》，事发时他住家木门敞开，他与93岁失智老母在客厅看电视节目，一名年约40岁的华族壮汉站在门外，劈头就说“我明天会上门修天花板”。,Zaobao,2019-03-26
藍弋丰觀點：人口房屋皆老化─小心！台灣房市灰犀牛蠢蠢欲動,台灣房地產市場過去曾經歷「一放就亂，一管就死」的循環，也曾一路狂飆，成為社會問題的來源，居住正義到底何時實現？當前，面對各項人口及經濟議題時，相關單位若能以更嚴謹的規劃及配套措施，解決房市問題，才能真正造福民眾，享有安居樂業的生活。房地產一向是台灣人的重要理財項目，一般人更認為具,風傳媒,2019-07-08
這會是明日台灣嗎？人口快速減少與老化，高度仰賴外國移民支撐的日本國,10年前我住在日本鄉村時，很少遇到外國人。甚至在東京，當地人有時也會向我這個身材高大的美國白人投來訝異的目光。但上個月再去日本，變化之大令我震驚。酒店、購物中心和咖啡館，似乎至少都會有一名工作人員是外來移民。一些在前台、電子遊戲廳工作的年輕人，胸前的名牌寫著非日本名字。金澤是東京,風傳媒,2018-12-27
風評：「拔管」峰廻報廢三位部長，看民進黨的權力失智症,十二月廿五日，全台灣新科縣市長宣誓就職，台灣翻了新頁，民進黨蔡政府却焦頭爛額地糾結於台大校長人事案，前一天「勉予同意」核定聘任管中閔為新任台大校長的教育部長葉俊榮，在民進黨一夜崩潰後，遞出辭呈，並即刻由「請辭中」的行政院長賴清德「勉予同意」簽准，結束他一百六十三天的任期。這是蔡政,風傳媒,2018-12-27
《媽媽，對不起》：面對滿口「不要不要」的失智母親，實在難以保持冷靜,"到了這時，我已經漸漸發現母親的抗拒是出於不願意改變生活習慣的心理。不論是讓她去日間照顧中心，還是使用漏尿墊和復健褲，改變過去熟悉的生活，都讓她痛苦萬分。但即使理智明白，感情也不是這麼一回事。面對滿口「不要不要」的母親，實在是難以保持冷靜。  標籤: 復健褲, 失智症, 松浦晋也, 媽媽，對不起, 長照, 照護, 失禁, 成人紙尿布",NewsLens,2018-12-13
玩數獨、填字遊戲能抗老化嗎？研究：解謎無助對抗老年心智退化,你有想過要藉著玩數獨、填字遊戲等益智遊戲來對抗心智退化嗎？這份研究恐怕要讓你失望了。英國一份科學研究發現，經常執行解謎活動等心智活動，對於晚年防止心智退化沒有任何影響。老年心智用進廢退？逾15年研究挑戰觀念人活到了晚年，心智「用進廢退」（useitorloseit）的概念常獲各界,風傳媒,2018-12-13
《媽媽，對不起》：無止境的照護壓力，讓我終於對失智母親動手了,"自我崩壞時，一定都有前兆。  這次的前兆，是呈現為「要是可以把在眼前搗亂的母親痛揍一頓，一定會很爽」的念頭。我的理性清楚這是絕對不可以做的事......然而儘管理性這麼想，腦中的幻想卻無法遏止地擴大。  標籤: 媽媽，對不起, 松浦晋也, 長照, 阿茲海默症, 失智症",NewsLens,2018-12-13
史上頭一遭 G20為人口老化危機費思量,不斷膨脹的醫療成本、勞動力短缺和老人金融服務，今天（9 日）在日本福岡的會議中，全球主要國家的政策制定者，正首度著手解決與人口老齡化和出生率下降有關的經濟問題。,芋傳媒,2019-06-10
G20首度商討人口老化衝擊 憂心演變為全球危機,20 國集團（G20）的財金首長今天於日本集會，首次商討如何因應與人口老化和出生率下降有關的經濟問題，像是醫療保健支出激增、勞動力短缺及專為長者設計的金融服務等。,芋傳媒,2019-06-10
G20：老龄化问题可能成全球危机,在日本福冈刚刚闭幕的G20财长和央行行长会议上，与会各国财长首次重点商议了人口老龄化和出生率下降可能给各国带来的挑战。据台湾中央社报道，日本副首相兼财政大臣麻生太郎在会议上警告说，老龄化已经成为日本主要�,RFA,2019-06-10
從貿易戰到網企稅 G20財長會議聲明5大重點,為期 2 天的 20 國集團（G 20 ）財政部長及中央銀行總裁會議今天在日本福岡落幕，會中提及貿易緊張「加劇」可能對全球經濟帶來負面風險，並首度討論人口迅速老化對經濟的衝擊。,芋傳媒,2019-06-10
交流站：跳蚤市场带动旧组屋区人气,住在淡滨尼的居民都知道，淡滨尼11街有个已有30多年历史的圆巴刹。圆巴刹一边是湿巴刹，另一边是小贩中心。早期淡滨尼还未完全发展时，圆巴刹成了居民买菜和解决三餐的地方。今天，淡滨尼住宅区设施完善，还有一个生气勃勃的区域中心。由于圆巴刹附近的组屋区老化，有些公寓集体出售，居民搬迁到别处，圆巴刹的人流量减少，平日人潮不多，只有星期天例外。,Zaobao,2019-03-19
民團檢討準公托 憂保母面臨人力斷層,準公共化托育政策實施滿一年，民間團體發現台灣保母有人力老化趨勢，將近六成保母超過50歲，因此擔憂五年、十年後保母退休，會遇「人力斷層」。...,PTS.org.tw,2019-08-11
失智症失踪人数1万6927人为过去最多 发现遗体508具：朝日新聞中文网,警察厅已于20日公布，在2018年1年内警察所收到的报告中，失智症的失踪者总人次为1万6927人，较2017年增加了1064人。,Asahi,2019-06-21
關鍵評論網8月主題徵文：100種打破印象的老後生活,"請將讓你難忘、顛覆對老化刻板印象的老年生活相關經驗及體察，寫成1500字以上（無字數上限）評論文章一篇。作品內容需為首次發表，同時嚴禁抄襲，如有參考資料請附上。 標籤: 100種打破印象的老後生活, 還不錯的老後, 哈佛教你幸福一輩子, 高齡友善新視界, 無痛退休, 老人詐欺, 長壽地獄",NewsLens,2019-08-01
辽宁拟修生育条例 欲改善人口老化,中国东北辽宁省计划放宽生育限制，允许一些夫妇生育第三个孩子，旨在改善生育率并阻止劳动力短缺。,DW,2019-08-01
失智症的爸爸能出國嗎？我的大膽建議是：可以試試看！,"所有資料幾乎都是建議不要改變長輩的環境，也不要過夜，這樣間接的也把照顧者綁死在家中。在臨床上的觀察，並非所有人都必須如此，如果能夠觀察下列幾個病患的情形，或許可以幫助照顧者，有機會帶著長輩外出。 標籤: 失智症, 出國, 混亂行為, 外出環境",NewsLens,2019-03-03
驗血診斷阿茲海默症 研究團隊有突破,目前全球失智症人口多達5千萬人，在台灣邁入高齡社會的同時，失智病患也正在快速增加。最近在美國洛杉磯舉辦的阿茲海默症協會國際大會，有多組研究團隊提出實驗報告，提到透過驗血來診斷阿茲海默症，其中最高...,PTS.org.tw,2019-07-17
【2019年参院选·当下的我们】在富冈町携妻迎来最后时光：朝日新聞中文网,板仓正雄(90岁)带着患有失智症的妻子·光子(87岁)回到福岛县富冈町，已经过去2年。,Asahi,2019-07-17
遺傳性失智並非無可避免！最新研究：無論基因，健康生活能減少失智症風險,《美國醫學會雜誌》最新研究指出，即使家族內存在高風險遺傳基因，但只要透過維持健康生活習慣，就能降低罹病可能性，讓失智症不再是無可避免的遺傳疾病。該研究長期追蹤英國20萬名60歲（含）以上成年人，比對日常生活的「健康程度」與失智症罹病比例的關聯後得此結論。這篇最新研究刊登在《美國醫,風傳媒,2019-07-17
這縣市只有41個公車站牌，長者行的權利嘸人顧？,公車是台灣老人外出最仰賴的交通工具，惟國內高齡化縣市的公車資源建置能否滿足當地老人需要？調查顯示，國內公車資源分布不但有嚴重的城鄉差距，且往往愈是老年人口比例偏高的縣市，公車資源愈是貧乏。以南投為例，其老化程度在全國各縣市排名第4，偌大縣境內卻只有41個公車站牌，平均每平方公里公,風傳媒,2019-07-09
失智後認不得妻 靠多元認知學習找回甜蜜,「邱小弟」邱孟暉確診失智症後，一度認不得妻子，但參加認知課程數年來，保持輕度失智，夫妻感情也重拾往日甜蜜。醫師指出，減緩失智關鍵與持續學習、與人互動有關。,芋傳媒,2019-07-04
《思想坦克》「能源轉型」將是 2020 大選決勝關鍵？,依據沃旭能源 2017 年的民意調查，臺灣民眾認為全球最重要前三大挑戰分別為氣候變遷（有 86% 受訪認為其為全球挑戰）、老化（74%）、能源供應安全（67%），顯示臺灣民眾極為關注氣候與能源政策。,芋傳媒,2019-07-16
新竹市戶政到府補辦證件 民眾直呼便民有感,新竹市一名失智長者因遺失身分證與健保卡而無法就醫，但又不願出門補辦證件，經家人詢問戶政事務所，得知可派員到府服務，立刻解決煩惱，直呼是「方便又有感的便民服務」。,芋傳媒,2019-07-16
飲食健康又常運動 高失智風險族群降32%患病率,根據今天刊登在美國醫學會期刊（JAMA）的研究，良好飲食及經常運動的健康生活方式，將有助有失智症遺傳基因的高風險族群患病機率，較生活不健康者降低 32%。,芋傳媒,2019-07-16
蕭徐行觀點》人口老化與人口移動將是未來國際社會的大議題,在2000年時，全世界有61億人， 100年後的2100年，全世界又會有多少人口呢？根據聯合國經濟暨社會理事會近期發布的2019年「世界人口報告」，屆時全球人口將達到110億。這項人口報告除了揭露全球人口仍將緩慢但持續的增加外，世界人口的增長與轉變也呈現了人口高齡化與頻繁的國際遷移現象。人口緩慢持續,NewTalk.tw,2019-06-27
服用抗憂鬱、癲癇、暈車藥，恐導致老人失智？最新研究：抗膽鹼藥物與失智症確實「高度相關」,24日《美國醫學會雜誌》一篇最新研究，針對常見處方藥，與年長者罹患失智症的關聯進行統計，發現長期服用含抗膽鹼藥物的患者，與沒有服藥的人相比，罹患失智症的風險增加了50%。由於抗膽鹼劑普遍存在於治療抑鬱症、泌尿生殖系統紊亂、思覺失調、癲癇等症狀的藥物中，這項統計有助提供更全面的資訊,風傳媒,2019-06-27
来自乌克兰的神童移民创造独特的DNA机器人,索非亚·李森科的父母在她三岁时从乌克兰移民到美国。现在，当她17岁时，一些美国大型制药公司希望与这位青少年科学神童合作，因为她创造了一种人造大分子机器人，可以将药物直接输送到患有阿尔茨海默氏症和帕金森症患者的脑细胞中。,VOA,2019-07-12
情人节最感人故事 癌伯临终牵挂失智妻 接入院照顾,72年爱情，至死不渝。患急性血癌93岁老伯送入临终病房，却还惦念着说要赶回家照顾失智三年的92岁爱妻。院方急忙隔天把妻子送来“让他照顾”，老夫妻相见喜形于色，令临终病房护士动容落泪。两人在临终病房共度最后两周。丈夫安详过世后，院方正安排让失智妻入住疗养院。,Zaobao,2019-02-15
面部皮肤反映个人整体健康,老化会影响人体各个器官。由于肌肤处在外层，是肉眼最明显看到的器官，所以，肌肤尤其是面部皮肤，就成了反映个人整体健康的代表。本报《活得好》请医生谈影响老化的因素，以及哪些因素会加速老化。■内在因素，如：遗传、整体健康和激素改变（雌激素减少，影响肌肤素质）。■外在因素，如：暴晒、环境污染物、生活习惯和压力等。,Zaobao,2019-02-15
《他是憂鬱，不是失智了》：老年憂鬱症有哪些非典型症狀？,"雖然有點囉嗦，但在這裡還是要再次提醒，老年憂鬱症在記憶障礙及意欲低下、失去活力方面的症狀特別明顯，因此很容易被歸類到失智症的範疇。 標籤: 憂鬱症, 精神運動性遲滯, 老年憂鬱症, 妄想, 記憶力衰退, 神經傳導物質, 他是憂鬱，不是失智了",NewsLens,2019-06-19
新竹縣攜式指紋掃描器 辨識身分防走失,為了協助失智民眾走失時，能及早辨識身分找到回家的路，新竹縣警局近日添購全臺第一台「攜帶式活體指紋掃描器」，警方可迅速比對身分，聯絡家屬。...,PTS.org.tw,2019-06-19
沈迷電玩恐提早老化！美研究：大腦皮層變薄,過度沈迷於電玩不只影響日常生活，還可能造成大腦提早老化！美國國家衛生研究院（NIH）近期針對9到10歲兒童研究指出，每天使用智慧型產品與打遊戲超過7小時，大腦皮層有提早變薄的現象，而這將影響「感官功能」。大腦皮層是大腦的最外層，負責處理感官資訊，NIH斥資3億美元研究的第一波資料顯示，使用電子產品超,NewTalk.tw,2018-12-11
【插畫】貓齡對照表：我家貓咪今年幾歲了？,"從「年齡對照表」中可以發現，相對人齡上跳躍的間距各都不同，這代表著，我們不能以人老化的速度來看待貓咪。 標籤: 貓奴, 貓, 年齡換算, 貓咪健檢, 成貓, 等同人齡, 我不醫人- Dr. Lan, 體重",NewsLens,2019-03-13
人口老化警鐘 長輩扶養費爭議3年增4成,隨人口老化，失能老人逐年增加，爭議也隨之而來，根據法扶基金會統計，過去 3 年與「給付扶養費」相關案件量暴增約 42.7%。家總推出指引工具，呼籲民眾多和家人溝通，凝聚共識。,芋傳媒,2019-08-24
廢除元號制的理由：「令和」會成為日本最後的元號嗎？,"隨著日本人口老化，以及留學生和外國人口移居日本的限制開始放寬，日本人整體支持維持元號制的呼聲很有可能將持續下降。究竟這個「獨步天下」的元號制還能維持多久？ 標籤: 令和, 年號, 元號, 天皇, 日本",NewsLens,2019-04-04
失智老人基金會拍紀錄片 日落之前省思獨老年代,失智老人基金會拍攝紀錄片「日落之前」，透過記錄 4 位獨居長者生活，盼喚起大眾一同關心獨居長者的生命處境，給予長者更多尊重與關懷。,芋傳媒,2019-04-04
失智被騙一億 財產給兒子就被棄養  小心銀色財務危機！,根據警政署統計，60歲以上老人受騙的人數，5年翻了一倍，以去年受害人數為例，60歲以上老人占了一成四。若統計失智長者相關的民事糾紛，則11年來增加了16倍。92歲，家住桃園市的江老太太，6年多前繼承丈夫價值5百多萬元房子及7百多萬元現金的財產後，以為可以「養兒防老」，把現金全部給了兒子；兒子卻沒有擔,NewTalk.tw,2019-03-07
台大產學合作打造先端實驗室 無人機導入農業,台灣農業面臨人口老化、缺工等問題，台大生農學院透過產學合作成立「先端智農實驗室」，希望將無人機等先端科技應用在農業，打造智慧農業新世代。,芋傳媒,2019-08-20
明明與家人同住，為何仍走向「孤獨死」的人生終點？日本行政解剖揭露的悲傷現實：同居孤獨死,獨居者陳屍家中，經過一段時間才被發現的「孤獨死」，已經成為日本社會備受關注的課題。不過根據日本兵庫縣監察醫務室的最新統計，即便是與家人同居，該縣仍有部分在家中過世的民眾，竟在死後超過24小時才被人發現。這種「同居孤獨死」的悲傷情況，也使得繭居與失智問題再度浮上檯面，與家人同居也不,風傳媒,2019-08-20
107年人口總增加率僅千分之0.8 歷年來最低,台灣107年的人口總數，只比106年增加1.8萬人，總增加率只有千分之0.8，首度跌至千分之一以下，不論是人口增加數還是增幅，都是歷年最低。人口老化正是台灣面臨的極大危機之一。內政部今（19）天發布統計指出，107年戶籍登記人口數為2358.9萬人，比106年增加了1.8萬人，總增加率千分之0.8。,NewTalk.tw,2019-01-20
印度政府：20年後高齡化社會 人口紅利不再,印度政府發表的 2019 年經濟調查報告指出，隨著印度人口成長急速放緩，印度人口成長將在 20 年後停滯， 2030 年代人口開始老化，政府需制定因應政策做好準備。,芋傳媒,2019-07-06
精神科醫師分析》照顧有精神症狀的失智長者...家屬該怎麼做？,近日新聞報導精神症狀的失智症患者，如人球一般未能在醫療院所治療或長期照顧機構收容,信傳媒,2018-12-17
失智翁遭鐵鍊拴門前 妻稱防亂跑社會處介入,苗栗縣 78 歲陳姓老翁，因失智多次外出走失，甚至遭車輛撞傷，陳妻為防止丈夫亂跑，以鐵鍊拴綁控制在三合院門前；苗栗縣政府今天指出，已轉介醫療資源，暫時安置。,芋傳媒,2019-04-15
中國荒謬的生育管制：鼓勵二胎罰三胎？山東夫婦生老三，被罰到連微信錢包都被凍結,中國面臨到人口老化的壓力，開始鼓勵民眾生二胎。但是，對生三胎的人，卻仍徵收高額「社會撫養費」，就連虛擬帳戶也收得一點零錢也不留。山東一對王氏夫婦的遭遇引發眾多網民為之叫屈。山東成武縣一對夫婦在生了第三胎之後，沒能上繳「社會撫養費」，被當地法院凍結財產及財付通，連微信錢包也沒能倖免,風傳媒,2019-02-19
中国严格实行二胎政策 山东夫妇生三胎遭罚,中国面临到人口老化的压力，开始鼓励民众生二胎。但是，对生三胎的人，却仍征收高额「社会抚养费」，就连虚拟帐户也收得一点零钱也不留。山东一对王氏夫妇的遭遇引发众多网民为之叫屈。,DW,2019-02-18
戰後嬰兒潮即將邁入退休，美國該如何因應人口與照護危機？,"美國還沒為即將到來的人力短缺做好準備。國會與白宮仍在虛與委蛇，在事情不演變成難以收拾的危機前它們似乎不想著手解決。然而，老年人照護是當前最昂貴的國內單一事項，它超出了「聯邦醫療保險」（Medicare） 與「低收入戶政府醫療補助」的預算，更打破了全美五十州以及多數中產階級的薪資預算。 標籤: Medicaid, 照護壓力, Medicare, 人口老化, 老年照顧者, 長照保險, 照護危機",NewsLens,2019-02-28
用保險準備失智照顧費用 業者建議3大選擇考量,衛生福利部調查，截至 2018 年台灣失智症患者已逾 28 萬人，且每 38 分鐘新增 1 名失智症患者，衍生的長期照顧費用準備成問題。壽險業者建議，想用保單建立長照帳戶，應有 3 大考量。,芋傳媒,2019-08-12
保母老化與居家托育中心問題 民團籲改善,準公共托育政策滿周年，托育政策催生聯盟今天指出，現行辦法仍有兩大漏洞，一來「居家托育服務中心」欠缺法定地位，其次是保母人力嚴重老化，呼籲衛生福利部應修正相關法規。,芋傳媒,2019-08-12
又出问题！德军最新武装直升机不得升空,德国联邦国防军一再碰到装备老化或失灵问题。现在，最新一代武装直升机又出现麻烦。由于安全隐患，所有“虎式”武装直升机暂时不允许升空。,DW,2019-08-12
歷史上的今天》8月11日──好萊塢一代笑匠 羅賓威廉斯悲劇結束一生,2014年8月11日，美國喜劇演員羅賓威廉斯（RobinWilliams）被發現在加州的寓所內自縊身亡，享年63歲。外界一度以為憂鬱症是導致他走上絕路的原因，不過他的遺孀蘇珊威廉斯（SusanWilliams）後來指出，丈夫是因路易氏體失智症（dementiawithLewybo,風傳媒,2019-08-12
病人自主權利法面面觀：失智父彌留7天不吃也不插管 子女不遺憾,長輩嚴重失智，要不要插鼻胃管餵食常令家屬掙扎。周貞利照顧失智父親多年，體認唯有認識疾病才能適時放下，父親彌留 7 天幾無進食也不插管，離世表情祥和，送別父親不留遺憾。,芋傳媒,2019-04-06
向歲月致敬 連美恩用攝影讓長者找到自信,長者若罹患失智，常會感到自卑、甚至自覺對社會無用。藝術工作者連美恩運用攝影專長，讓奶奶成為時尚潮模，不僅幫奶奶脫離失智絕望，也激發社會對於老人陪伴的思考。,芋傳媒,2019-06-01
点香驱二手烟 引大火母赔命,武吉班让致命火患，女儿出外打包午餐，出门前点两支香驱散邻居抽烟传来的二手烟，不料却引发大火，烧到纸箱或报纸，加上开动的风扇助长火势，坐轮椅的83岁失智老母亲，被烧成焦尸。,Zaobao,2019-06-01
2018編輯推薦書單【高齡篇】：人口變少又變老，我們的未來會怎樣？,"延續著前幾年在出版市場已經掀起的老人學或銀髮浪潮，2018年相關的作品也相當可觀。以下要推薦的五本書各自從不同的角度切入老化，推薦順序的安排是從整體社會的趨勢或變化到個人層面的相處與互動、從臨終回溯到長期照顧，再到如何維繫與長輩的日常相處。 標籤: 高齡化, 長期照顧, 未來年表, 七十歲死亡法案，通過, 棄老傳說, 楢山節考, 一個人的臨終, 上野千鶴子, 在宅醫療, 沒想到…我會變得這麼弱？, 朱國鳳, 如果父母老後難相處, 長照, 2018編輯推薦書單",NewsLens,2019-02-07
長照需求殷 北部高中職照服科招生難,全台65歲以上老年人口長期照顧需求提升，根據內政部2018年數據估算，全台有超過27萬名失智者，而且數字持續上升。雖然失智症並非正常老化的一部分，但也是高齡社會中不得不面對的課題。教育部卻從10...,PTS.org.tw,2019-07-25
從居家防跌到換工，打造「老得起」的社區互助網,"作者以老人防跌為議題成立了「防跌工班」，協助居家內外環境的改善，以預防長者跌倒。如此才能維持老人在社區獨立健康生活、減少醫療資源耗費和家庭照顧負擔，並重構老人的社會關係。 標籤: 暖暖, 基隆, 社區, 在地老化, 防跌工班, 換工互助, 老人跌倒, 在地安老, 社區工作, 老人防跌, 換工, 社會關係, 賦權, 社區互助, 社區照顧, 展齡",NewsLens,2019-07-25
抗老化：我们真的渴望长生不老吗？,千百年来，永保青春一直都是人类不懈的追求。但如果真的能够阻止人体老化，世界又会发生什么事情呢？,BBC,2018-12-02
從畫作走進失智者內心世界 民團替長輩辦展覽,失智症患者受疾病影響，常陷入不好的回憶中，天主教失智老人基金會帶領長輩透過畫畫等創作找回美好記憶，並且舉辦展覽，讓社會大眾也能走進失智者的內心世界。,芋傳媒,2019-08-18
